time,Apolloon,VTK
1666462759,1,1
1666462760,1,1
1666462761,1,1
1666462762,1,1
1666462763,1,1
1666462764,1,1
1666462765,1,1
1666462766,1,1
1666462767,1,1
1666462768,1,1
1666462769,1,1
1666462770,1,1
1666462771,1,1
1666462772,1,1
1666462773,1,1
1666462774,1,1
1666462775,1,1
1666462776,1,1
1666462777,1,1
1666462779,1,1
1666462780,1,1
1666462781,1,1
1666462782,1,1
1666462783,1,1
1666462784,1,1
1666462785,1,1
1666462786,1,1
1666462787,1,1
1666462788,1,1
1666462789,1,1
1666462790,1,1
1666462791,1,1
1666462792,1,1
1666462793,1,1
1666462794,1,1
1666462795,1,1
1666462796,1,1
1666462797,1,2
1666462798,1,2
1666462799,1,2
1666462800,1,2
1666462801,1,2
1666462802,1,2
1666462803,1,2
1666462804,1,2
1666462805,1,2
1666462806,1,2
1666462807,1,2
1666462808,1,2
1666462809,1,2
1666462810,1,2
1666462811,1,2
1666462812,1,2
1666462813,1,2
1666462814,1,2
1666462815,1,2
1666462816,1,2
1666462817,1,2
1666462818,2,2
1666462819,2,2
1666462820,2,2
1666462821,2,2
1666462822,2,2
1666462823,2,2
1666462824,2,2
1666462825,2,2
1666462826,2,2
1666462827,2,2
1666462828,2,2
1666462829,2,2
1666462830,2,2
1666462831,2,2
1666462832,2,2
1666462833,2,2
1666462834,2,2
1666462835,2,2
1666462836,2,2
1666462837,2,2
1666462838,2,2
1666462839,2,2
1666462840,2,2
1666462841,2,2
1666462842,2,2
1666462843,2,2
1666462844,2,2
1666462845,2,2
1666462846,2,2
1666462847,2,2
1666462848,2,2
1666462849,2,2
1666462850,2,2
1666462851,2,2
1666462852,2,2
1666462853,2,2
1666462854,2,2
1666462855,2,2
1666462857,2,2
1666462858,2,2
1666462859,2,2
1666462860,2,2
1666462861,2,2
1666462862,2,2
1666462863,2,2
1666462864,2,2
1666462865,2,2
1666462866,2,2
1666462867,2,3
1666462868,2,3
1666462869,2,3
1666462870,2,3
